Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SS,Ronny Mauricio (43677227),Ronny Mauricio,43677227,CPT,4500,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.82
C,Hayden Senger (43677228),Hayden Senger,43677228,CPT,4500,LAD@NYM 07/24/2026 07:10PM ET,NYM,3
1B,Eric Wagaman (43677229),Eric Wagaman,43677229,CPT,4500,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.67
3B/OF,Nick Senzel (43677230),Nick Senzel,43677230,CPT,4500,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
OF,Alek Thomas (43677231),Alek Thomas,43677231,CPT,4500,LAD@NYM 07/24/2026 07:10PM ET,LAD,5.61
2B,Alex Freeland (43677111),Alex Freeland,43677111,UTIL,4400,LAD@NYM 07/24/2026 07:10PM ET,LAD,4.44
2B/3B,Brett Baty (43677112),Brett Baty,43677112,UTIL,4200,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.23
2B,Hyeseong Kim (43677121),Hyeseong Kim,43677121,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,4.91
RP,Jefry Yan (43677153),Jefry Yan,43677153,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Brusdar Graterol (43677154),Brusdar Graterol,43677154,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Tanner Scott (43677155),Tanner Scott,43677155,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.75
RP,Austin Warren (43677156),Austin Warren,43677156,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.38
RP,Daniel Duarte (43677157),Daniel Duarte,43677157,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.11
RP,Devin Williams (43677158),Devin Williams,43677158,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.99
RP,Luke Weaver (43677159),Luke Weaver,43677159,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.79
RP,Charlie Barnes (43677160),Charlie Barnes,43677160,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0.15
RP,Alex Carrillo (43677161),Alex Carrillo,43677161,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Huascar Brazoban (43677162),Huascar Brazoban,43677162,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.72
RP,Joey Gerber (43677163),Joey Gerber,43677163,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.96
RP,Cionel Perez (43677164),Cionel Perez,43677164,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.59
RP,Ben Casparius (43677165),Ben Casparius,43677165,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0.5
RP,Brooks Raley (43677166),Brooks Raley,43677166,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.22
RP,Brock Stewart (43677167),Brock Stewart,43677167,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.31
RP,Evan Phillips (43677168),Evan Phillips,43677168,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.01
RP,Jordan Weems (43677169),Jordan Weems,43677169,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Alex Vesia (43677170),Alex Vesia,43677170,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,2.99
RP,Reed Garrett (43677171),Reed Garrett,43677171,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Kyle Hurt (43677172),Kyle Hurt,43677172,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.12
RP,Seth Halvorsen (43677173),Seth Halvorsen,43677173,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,1.64
RP,Blake Treinen (43677174),Blake Treinen,43677174,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,2.78
RP,Wyatt Mills (43677175),Wyatt Mills,43677175,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,1.03
RP,Will Klein (43677176),Will Klein,43677176,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.86
RP,Dedniel Nunez (43677177),Dedniel Nunez,43677177,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Jonathan Pintaro (43677178),Jonathan Pintaro,43677178,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,6.23
RP,Edwin Diaz (43677179),Edwin Diaz,43677179,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,2.07
RP,Edgardo Henriquez (43677180),Edgardo Henriquez,43677180,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.59
RP,Jake Eder (43677181),Jake Eder,43677181,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,2.65
RP,Paul Gervase (43677182),Paul Gervase,43677182,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,5.51
RP,Jack Dreyer (43677183),Jack Dreyer,43677183,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.70
RP,A.J. Minter (43677184),A.J. Minter,43677184,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.20
RP,Carlos Duran (43677185),Carlos Duran,43677185,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Jake Cousins (43677186),Jake Cousins,43677186,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Anderson Severino (43677187),Anderson Severino,43677187,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Ronan Kopp (43677188),Ronan Kopp,43677188,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Adbert Alzolay (43677189),Adbert Alzolay,43677189,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
RP,Dylan Ross (43677190),Dylan Ross,43677190,UTIL,4000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
1B,Jared Young (43677113),Jared Young,43677113,UTIL,3800,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.12
OF,Tyrone Taylor (43677114),Tyrone Taylor,43677114,UTIL,3600,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.93
2B/SS,Miguel Rojas (43677115),Miguel Rojas,43677115,UTIL,3400,LAD@NYM 07/24/2026 07:10PM ET,LAD,3.75
C,Luis Torrens (43677116),Luis Torrens,43677116,UTIL,3200,LAD@NYM 07/24/2026 07:10PM ET,NYM,4.16
C,Eliezer Alfonzo (43677117),Eliezer Alfonzo,43677117,UTIL,3000,LAD@NYM 07/24/2026 07:10PM ET,LAD,1.5
OF,Ryan Ward (43677122),Ryan Ward,43677122,UTIL,3000,LAD@NYM 07/24/2026 07:10PM ET,LAD,5.75
OF,MJ Melendez (43677123),MJ Melendez,43677123,UTIL,3000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.68
2B/OF,Tyler Fitzgerald (43677124),Tyler Fitzgerald,43677124,UTIL,3000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
OF,Nick Morabito (43677125),Nick Morabito,43677125,UTIL,3000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0.4
SS,Ronny Mauricio (43677126),Ronny Mauricio,43677126,UTIL,3000,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.82
C,Hayden Senger (43677127),Hayden Senger,43677127,UTIL,3000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3
1B,Eric Wagaman (43677128),Eric Wagaman,43677128,UTIL,3000,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.67
3B/OF,Nick Senzel (43677129),Nick Senzel,43677129,UTIL,3000,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
OF,Alek Thomas (43677130),Alek Thomas,43677130,UTIL,3000,LAD@NYM 07/24/2026 07:10PM ET,LAD,5.61
