Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF/SS,Javier Baez (43668908),Javier Baez,43668908,UTIL,5200,KC@DET 07/23/2026 06:40PM ET,DET,5.29
2B/3B,Josh Rojas (43669002),Josh Rojas,43669002,CPT,5100,KC@DET 07/23/2026 06:40PM ET,KC,3.32
OF,Starling Marte (43668897),Starling Marte,43668897,UTIL,5000,KC@DET 07/23/2026 06:40PM ET,KC,4.11
OF,Isaac Collins (43668898),Isaac Collins,43668898,UTIL,4800,KC@DET 07/23/2026 06:40PM ET,KC,5.84
OF,Ben Malgeri (43669003),Ben Malgeri,43669003,CPT,4800,KC@DET 07/23/2026 06:40PM ET,DET,3.2
OF,Wenceel Perez (43668909),Wenceel Perez,43668909,UTIL,4600,KC@DET 07/23/2026 06:40PM ET,DET,5.09
C,Luke Maile (43669004),Luke Maile,43669004,CPT,4500,KC@DET 07/23/2026 06:40PM ET,KC,8.33
C,Eduardo Valencia (43669011),Eduardo Valencia,43669011,CPT,4500,KC@DET 07/23/2026 06:40PM ET,DET,7.17
2B/3B,Gage Workman (43669012),Gage Workman,43669012,CPT,4500,KC@DET 07/23/2026 06:40PM ET,DET,3.38
SS,Trey Sweeney (43669013),Trey Sweeney,43669013,CPT,4500,KC@DET 07/23/2026 06:40PM ET,DET,0
OF,Kyle Isbel (43669014),Kyle Isbel,43669014,CPT,4500,KC@DET 07/23/2026 06:40PM ET,KC,4.73
3B,Jace Jung (43669015),Jace Jung,43669015,CPT,4500,KC@DET 07/23/2026 06:40PM ET,DET,3
OF,Trei Cruz (43669016),Trei Cruz,43669016,CPT,4500,KC@DET 07/23/2026 06:40PM ET,DET,0
C,Thayron Liranzo (43669017),Thayron Liranzo,43669017,CPT,4500,KC@DET 07/23/2026 06:40PM ET,DET,0
OF,Kameron Misner (43669018),Kameron Misner,43669018,CPT,4500,KC@DET 07/23/2026 06:40PM ET,KC,3.33
OF,Matthew Lugo (43669019),Matthew Lugo,43669019,CPT,4500,KC@DET 07/23/2026 06:40PM ET,KC,0
2B/SS,Andrew Velazquez (43677845),Andrew Velazquez,43677845,CPT,4500,KC@DET 07/23/2026 06:40PM ET,KC,8
2B/SS,Zach McKinstry (43668899),Zach McKinstry,43668899,UTIL,4400,KC@DET 07/23/2026 06:40PM ET,DET,4.26
OF,James Outman (43668900),James Outman,43668900,UTIL,4200,KC@DET 07/23/2026 06:40PM ET,DET,2.80
OF,John Rave (43668910),John Rave,43668910,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,4.67
OF,Parker Meadows (43668911),Parker Meadows,43668911,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,5.42
RP,Beck Way (43668947),Beck Way,43668947,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,3.32
RP,Tyler Holton (43668948),Tyler Holton,43668948,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,2.63
RP,Nick Mears (43668949),Nick Mears,43668949,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.00
RP,Lucas Erceg (43668950),Lucas Erceg,43668950,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,1.72
RP,Andre Granillo (43668951),Andre Granillo,43668951,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,-0.78
RP,Will Vest (43668952),Will Vest,43668952,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,2.44
RP,Alex Lange (43668953),Alex Lange,43668953,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.05
RP,Burch Smith (43668954),Burch Smith,43668954,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,3.94
RP,Kenley Jansen (43668955),Kenley Jansen,43668955,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,2.79
RP,Drew Sommers (43668956),Drew Sommers,43668956,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,1.84
RP,Enmanuel De Jesus (43668957),Enmanuel De Jesus,43668957,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,4.06
RP,John Schreiber (43668958),John Schreiber,43668958,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.01
RP,Kyle Finnegan (43668959),Kyle Finnegan,43668959,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,2.69
SP,Steven Zobac (43668960),Steven Zobac,43668960,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,0
RP,Beau Brieske (43668961),Beau Brieske,43668961,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,1.9
SP,Jake Miller (43668962),Jake Miller,43668962,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,0
RP,Aaron Sanchez (43668963),Aaron Sanchez,43668963,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,0
RP,James McArthur (43668964),James McArthur,43668964,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,0
RP,Matt Strahm (43668965),Matt Strahm,43668965,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,1.57
RP,Ricky Vanasco (43668966),Ricky Vanasco,43668966,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,-2.35
RP,Bailey Horn (43668967),Bailey Horn,43668967,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,0
RP,Brant Hurter (43668968),Brant Hurter,43668968,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,3.63
RP,Eli Morgan (43668969),Eli Morgan,43668969,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.03
RP,Carlos Estevez (43668970),Carlos Estevez,43668970,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,-14.85
RP,Connor Seabold (43668971),Connor Seabold,43668971,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.08
RP,Jacob Waguespack (43668972),Jacob Waguespack,43668972,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,3.68
RP,Brenan Hanifee (43668973),Brenan Hanifee,43668973,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,DET,1.30
RP,Jose Cuas (43668974),Jose Cuas,43668974,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,4.45
RP,Steven Cruz (43668975),Steven Cruz,43668975,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,3.26
RP,Easton McGee (43668976),Easton McGee,43668976,UTIL,4000,KC@DET 07/23/2026 06:40PM ET,KC,2.65
2B,Hao-Yu Lee (43668901),Hao-Yu Lee,43668901,UTIL,3800,KC@DET 07/23/2026 06:40PM ET,DET,4.5
C,Jake Rogers (43668902),Jake Rogers,43668902,UTIL,3600,KC@DET 07/23/2026 06:40PM ET,DET,4.23
2B/3B,Josh Rojas (43668903),Josh Rojas,43668903,UTIL,3400,KC@DET 07/23/2026 06:40PM ET,KC,3.32
OF,Ben Malgeri (43668904),Ben Malgeri,43668904,UTIL,3200,KC@DET 07/23/2026 06:40PM ET,DET,3.2
C,Luke Maile (43668905),Luke Maile,43668905,UTIL,3000,KC@DET 07/23/2026 06:40PM ET,KC,8.33
C,Eduardo Valencia (43668912),Eduardo Valencia,43668912,UTIL,3000,KC@DET 07/23/2026 06:40PM ET,DET,7.17
2B/3B,Gage Workman (43668913),Gage Workman,43668913,UTIL,3000,KC@DET 07/23/2026 06:40PM ET,DET,3.38
SS,Trey Sweeney (43668914),Trey Sweeney,43668914,UTIL,3000,KC@DET 07/23/2026 06:40PM ET,DET,0
OF,Kyle Isbel (43668915),Kyle Isbel,43668915,UTIL,3000,KC@DET 07/23/2026 06:40PM ET,KC,4.73
3B,Jace Jung (43668916),Jace Jung,43668916,UTIL,3000,KC@DET 07/23/2026 06:40PM ET,DET,3
OF,Trei Cruz (43668917),Trei Cruz,43668917,UTIL,3000,KC@DET 07/23/2026 06:40PM ET,DET,0
C,Thayron Liranzo (43668918),Thayron Liranzo,43668918,UTIL,3000,KC@DET 07/23/2026 06:40PM ET,DET,0
OF,Kameron Misner (43668919),Kameron Misner,43668919,UTIL,3000,KC@DET 07/23/2026 06:40PM ET,KC,3.33
OF,Matthew Lugo (43668920),Matthew Lugo,43668920,UTIL,3000,KC@DET 07/23/2026 06:40PM ET,KC,0
2B/SS,Andrew Velazquez (43677844),Andrew Velazquez,43677844,UTIL,3000,KC@DET 07/23/2026 06:40PM ET,KC,8
