#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
34,Max Fried,NYY,4,3,0,10,10,61.2,7.30,2.77,0.15,.250,67.1%,48.8%,1.8%,95.1,3.21,2.61,2.72,3.91,1.9
35,Landen Roupp,SFG,5,8,0,17,17,89.0,10.01,4.04,0.61,.326,65.2%,48.7%,8.1%,92.9,4.55,3.43,3.21,3.60,1.9
36,Michael Wacha,KCR,5,6,0,18,18,114.2,7.14,2.43,1.02,.274,76.6%,39.2%,9.7%,93.2,3.45,4.05,3.91,4.21,1.9
37,Logan Webb,SFG,5,6,0,15,15,93.1,7.52,2.31,0.67,.290,69.8%,50.9%,9.3%,92.5,3.66,3.98,3.31,3.56,1.9
38,Shane McClanahan,TBR,7,5,0,16,16,79.2,8.70,3.16,0.68,.269,71.6%,44.2%,7.2%,95.6,3.05,4.27,3.29,3.89,1.9
39,Nick Martinez,TBR,7,2,0,17,17,100.0,5.49,1.62,0.90,.269,85.3%,33.9%,7.4%,93.0,2.61,4.68,3.82,4.59,1.8
40,Kevin Gausman,TOR,4,7,0,18,18,101.0,8.91,2.14,1.34,.290,72.0%,39.5%,12.1%,94.0,4.19,3.77,3.80,3.74,1.8
41,Dustin May,STL,5,6,0,16,16,84.1,8.32,2.56,0.75,.321,62.6%,44.4%,7.9%,97.0,4.80,3.85,3.37,3.89,1.8
42,Keider Montero,DET,5,5,1,18,15,92.2,5.73,1.94,0.87,.222,71.8%,38.1%,6.5%,94.5,3.21,3.56,3.81,4.81,1.8
43,Shane Baz,BAL,4,8,0,17,17,101.0,7.75,3.48,0.80,.304,68.5%,37.0%,7.4%,96.2,4.19,4.47,3.79,4.47,1.7
44,Sean Burke,CHW,5,4,0,18,14,98.2,9.67,3.01,1.09,.295,78.8%,34.4%,10.3%,94.7,3.56,3.72,3.73,3.95,1.7
45,Will Warren,NYY,7,3,0,17,17,89.1,9.17,2.92,1.01,.311,67.3%,43.1%,10.0%,93.7,3.73,4.05,3.57,3.81,1.7
46,Gavin Williams,CLE,9,4,0,18,18,106.1,10.41,3.05,1.35,.288,74.8%,46.7%,16.7%,96.8,3.89,4.64,3.82,3.24,1.7
47,Sonny Gray,BOS,10,1,0,16,16,89.2,8.23,2.31,1.00,.274,85.2%,47.6%,12.0%,92.0,2.61,3.68,3.60,3.56,1.6
48,Payton Tolle,BOS,4,6,0,13,13,74.1,8.96,2.78,0.97,.263,71.8%,34.3%,8.1%,96.2,3.39,3.20,3.53,4.15,1.6
